scheme_name,state,ministry,category,tags,scheme_details,benefits,eligibility,application_process,documents_required,url,last_verified,search_text
Skilled Youth Startup Scheme,Sikkim,,"['Business & Entrepreneurship', 'Agriculture,Rural & Environment', 'Skills & Employment']","['Business', 'StartUp', 'Employment', 'Entrepreneurship', 'Youth']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/syss,2026-03-16,Skilled Youth Startup Scheme Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Sikkim
Krishak Bakri Palan Yojna,Himachal Pradesh,,"['Agriculture,Rural & Environment', 'Skills & Employment']","['Goat Farming Scheme', 'Animal Husbandry', 'Financial Assistance', 'Rural Development']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/kbpyy,2026-03-16,Krishak Bakri Palan Yojna Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Himachal Pradesh
Mukhya Mantri Krishi Sa Sajuli Yozana - Assam,Assam,,"['Agriculture,Rural & Environment']","['Farmer', 'Agriculture', 'Direct Benefit Transfer', 'Financial Assistance', 'Farm Tools']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/mmkssy-assam,2026-03-16,Mukhya Mantri Krishi Sa Sajuli Yozana - Assam Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Assam
Uttam Pashu Puraskar Yojana,Himachal Pradesh,,"['Agriculture,Rural & Environment']","['Livestock', 'Cattle', 'Buffaloes', 'Cash Prize', 'Milk']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/uppy,2026-03-16,Uttam Pashu Puraskar Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Himachal Pradesh
Community Canning & Training On Fruit Preservation,Assam,,"['Agriculture,Rural & Environment']","['Fruit Preservation', 'Community Canning', 'Training']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/cctofp,2026-03-16,Community Canning & Training On Fruit Preservation Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Assam
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,Gujarat,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship']","['Poultry Farming', 'Scheduled Tribe', 'Subsidy', 'Kadaknath', 'Financial Assistance', 'Rhode Island Red (RIR)']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/sse25krbust,2026-03-16,Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Madilu Kit,Karnataka,,"['Agriculture,Rural & Environment']","['Skill Development', 'Entrepreneurship', 'Livelihoods', 'Poverty Reduction']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/madilu,2026-03-16,Madilu Kit Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Karnataka
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm,Gujarat,,"['Agriculture,Rural & Environment']","['Animal Husbandry', 'Subsidy', 'Farmer', 'Cattle Farming', 'Loan']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ssieemaf,2026-03-16,Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,Gujarat,,"['Agriculture,Rural & Environment']","['Incentive', 'Artificial Insemination', 'Indigenous Cow', 'Livestock']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ioaibfcpbic,2026-03-16,Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Gujarat
Incentive To Girls,Rajasthan,,"['Agriculture,Rural & Environment', 'Women and Child']","['Financial Assistance', 'Girl Education', 'Empowerment', 'Higher Education']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/itg,2026-03-16,Incentive To Girls Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Rajasthan
Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC),All,,"['Education & Learning', 'Agriculture,Rural & Environment']","['Internship', 'Wildlife', 'Crime', 'Student', 'Environment']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/ipwccb,2026-03-16,Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC) Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
National Food Security Mission NFSM,All,,"['Agriculture,Rural & Environment']","['Demonstration', 'Seed Distribution', 'Seed Hub', 'Seed Production', 'Pulses', 'Rice', 'Wheat', 'Nutri Cereals', 'Millets']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/nfsmcss,2026-03-16,National Food Security Mission NFSM Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards,All,,"['Agriculture,Rural & Environment']","['Agriculture', 'Farmer', 'Subsidy', 'DBT']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/cdpnerqucdy,2026-03-16,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,All,,"['Agriculture,Rural & Environment']","['Agriculture', 'Farmer', 'Subsidy', 'DBT']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/cdpnerqucsbp,2026-03-16,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  All
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,Goa,,"['Agriculture,Rural & Environment']","['Fish', 'Fishermen', 'Financial Assistance', 'Fisheries']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fapllf,2026-03-16,Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,Goa,,"['Agriculture,Rural & Environment']","['Fishermen', 'Fish', 'Financial Assistance', 'Subsidy']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fatpomo2t5ffttfc,2026-03-16,Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,Goa,,"['Agriculture,Rural & Environment']","['Fishermen', 'Fish', 'Subsidy', 'Financial Assistance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw,2026-03-16,Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories,Goa,,"['Agriculture,Rural & Environment']","['Fishermen', 'Fish', 'Subsidy', 'Financial Assistance', 'Marine']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fapsnsrna,2026-03-16,Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Supply of Insulated Boxes,Goa,,"['Agriculture,Rural & Environment']","['Fishermen', 'Fish', 'Marketing', 'Financial Assistance', 'Subsidy']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/sib,2026-03-16,Supply of Insulated Boxes Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending,Goa,,"['Agriculture,Rural & Environment']","['Fish', 'Vendor', 'Business', 'Financial Assistance', 'Subsidy']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fafvrdfparfv,2026-03-16,Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Financial Assistance for Purchase of Stake Net and its Accessories,Goa,,"['Agriculture,Rural & Environment']","['Fishermen', 'Fish', 'Subsidy', 'Financial Assistance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/fapsna,2026-03-16,Financial Assistance for Purchase of Stake Net and its Accessories Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Goa
Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats,Puducherry,,"['Agriculture,Rural & Environment']","['Boat', 'Subsidy', 'Fisherman', 'Fisheries', 'Financial Assistance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/spwfrpsmb-faascdmf,2026-03-16,Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Puducherry
Grant of Subsidy for Procurement of Vehicle,Puducherry,,"['Agriculture,Rural & Environment']","['Subsidy', 'Procurement', 'Vehicle', 'Fisheries', 'Fisherman', 'Financial Asisstance']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/gspv,2026-03-16,Grant of Subsidy for Procurement of Vehicle Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Puducherry
Mukhya mantri Krishak Udyami Yojana,Madhya Pradesh,,"['Banking,Financial Services and Insurance', 'Agriculture,Rural & Environment']","['Farming', 'Farmer', 'Financial', 'Loan', 'Bank']","Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of India ® Connect on Social Media Quick Links About Us Contact Us Screen Reader Accessibility Statement Frequently Asked Questions Disclaimer Terms & Conditions Dashboard Useful Links Get in touch 4th Floor, NeGD, Electronics Niketan, 6 CGO Complex, Lodhi Road, New Delhi - 110003, India support-myscheme[at]digitalindia[dot]gov[dot]in (011) 24303714 (9:00 AM to 5:30 PM)",,,,,https://www.myscheme.gov.in/schemes/mkuy,2026-03-16,Mukhya mantri Krishak Udyami Yojana Something went wrong. Please try again later. Ok Are you sure you want to sign out? Cancel Sign Out © 2026 Powered by Digital India Corporation(DIC) Ministry of Electronics & IT (MeitY) Government of  Madhya Pradesh
